lr,seed,a,b,regime,ell_c,source_leaf,target_leaf,distance_d,t_flip,warmup_ok,depth,leaf_size,p,d_param
0.005,0,0.5,0.01,I,5,0,1,1,50,True,5,4,4.0,1
0.005,0,0.5,0.01,I,5,0,2,2,130,True,5,4,4.0,1
0.005,0,0.5,0.01,I,5,0,3,2,127,True,5,4,4.0,1
0.005,0,0.5,0.01,I,5,0,4,3,155,True,5,4,4.0,1
0.005,0,0.5,0.01,I,5,0,5,3,160,True,5,4,4.0,1
0.005,0,0.5,0.01,I,5,0,6,3,156,True,5,4,4.0,1
0.005,0,0.5,0.01,I,5,0,7,3,158,True,5,4,4.0,1
0.005,0,0.5,0.01,I,5,0,8,4,173,True,5,4,4.0,1
0.005,0,0.5,0.01,I,5,0,9,4,171,True,5,4,4.0,1
0.005,0,0.5,0.01,I,5,0,10,4,170,True,5,4,4.0,1
0.005,0,0.5,0.01,I,5,0,11,4,164,True,5,4,4.0,1
0.005,0,0.5,0.01,I,5,0,12,4,166,True,5,4,4.0,1
0.005,0,0.5,0.01,I,5,0,13,4,170,True,5,4,4.0,1
0.005,0,0.5,0.01,I,5,0,14,4,167,True,5,4,4.0,1
0.005,0,0.5,0.01,I,5,0,15,4,169,True,5,4,4.0,1
0.005,0,0.5,0.01,I,5,0,16,5,233,True,5,4,4.0,1
0.005,0,0.5,0.01,I,5,0,17,5,234,True,5,4,4.0,1
0.005,0,0.5,0.01,I,5,0,18,5,232,True,5,4,4.0,1
0.005,0,0.5,0.01,I,5,0,19,5,231,True,5,4,4.0,1
0.005,0,0.5,0.01,I,5,0,20,5,228,True,5,4,4.0,1
0.005,0,0.5,0.01,I,5,0,21,5,231,True,5,4,4.0,1
0.005,0,0.5,0.01,I,5,0,22,5,233,True,5,4,4.0,1
0.005,0,0.5,0.01,I,5,0,23,5,232,True,5,4,4.0,1
0.005,0,0.5,0.01,I,5,0,24,5,221,True,5,4,4.0,1
0.005,0,0.5,0.01,I,5,0,25,5,220,True,5,4,4.0,1
