name,n_nodes,p_f,seed,n_shells,max_shell,mean_degree,shell_sizes
NCP1/p_f=0.35/n=500/seed=0,500,0.35,0,9,9,5.984,"{""9"": 38, ""7"": 17, ""8"": 21, ""4"": 57, ""6"": 25, ""5"": 32, ""3"": 51, ""2"": 125, ""1"": 134}"
NCP1/p_f=0.35/n=500/seed=1,500,0.35,1,7,7,5.284,"{""7"": 35, ""5"": 54, ""6"": 31, ""3"": 79, ""4"": 60, ""2"": 103, ""1"": 138}"
NCP1/p_f=0.35/n=500/seed=2,500,0.35,2,8,8,5.6,"{""6"": 49, ""8"": 33, ""7"": 6, ""4"": 72, ""2"": 113, ""3"": 60, ""5"": 33, ""1"": 134}"
NCP1/p_f=0.35/n=500/seed=3,500,0.35,3,10,10,5.3,"{""10"": 16, ""7"": 17, ""3"": 62, ""5"": 40, ""9"": 2, ""4"": 59, ""2"": 135, ""6"": 35, ""1"": 133, ""8"": 1}"
NCP1/p_f=0.35/n=500/seed=4,500,0.35,4,8,8,5.708,"{""8"": 43, ""7"": 22, ""3"": 94, ""4"": 59, ""1"": 135, ""6"": 31, ""2"": 88, ""5"": 28}"
NCP1/p_f=0.35/n=500/seed=5,500,0.35,5,9,9,5.4,"{""8"": 4, ""9"": 21, ""7"": 31, ""4"": 60, ""6"": 21, ""2"": 131, ""3"": 87, ""1"": 121, ""5"": 24}"
NCP1/p_f=0.35/n=500/seed=6,500,0.35,6,9,9,5.492,"{""9"": 33, ""7"": 20, ""8"": 6, ""4"": 52, ""6"": 10, ""3"": 92, ""5"": 32, ""2"": 110, ""1"": 145}"
NCP1/p_f=0.35/n=500/seed=7,500,0.35,7,7,7,5.4,"{""7"": 53, ""6"": 24, ""5"": 37, ""3"": 78, ""2"": 93, ""4"": 68, ""1"": 147}"
NCP1/p_f=0.35/n=500/seed=8,500,0.35,8,7,7,4.596,"{""6"": 27, ""7"": 14, ""4"": 67, ""5"": 52, ""3"": 81, ""2"": 104, ""1"": 155}"
NCP1/p_f=0.35/n=500/seed=9,500,0.35,9,8,8,5.36,"{""5"": 58, ""8"": 22, ""6"": 33, ""4"": 72, ""3"": 80, ""2"": 120, ""1"": 111, ""7"": 4}"
NCP1/p_f=0.35/n=500/seed=10,500,0.35,10,9,9,5.588,"{""9"": 17, ""7"": 29, ""6"": 19, ""5"": 63, ""3"": 65, ""4"": 56, ""8"": 7, ""1"": 136, ""2"": 108}"
NCP1/p_f=0.35/n=500/seed=11,500,0.35,11,7,7,4.836,"{""6"": 37, ""7"": 23, ""4"": 54, ""2"": 136, ""5"": 26, ""3"": 85, ""1"": 139}"
NCP1/p_f=0.35/n=500/seed=12,500,0.35,12,9,9,5.744,"{""9"": 29, ""8"": 16, ""3"": 61, ""5"": 35, ""6"": 31, ""4"": 45, ""7"": 11, ""2"": 128, ""1"": 144}"
NCP1/p_f=0.35/n=500/seed=13,500,0.35,13,9,9,5.52,"{""9"": 21, ""8"": 29, ""5"": 32, ""4"": 69, ""3"": 70, ""7"": 10, ""2"": 126, ""1"": 130, ""6"": 13}"
NCP1/p_f=0.35/n=500/seed=14,500,0.35,14,10,10,6.28,"{""10"": 17, ""9"": 21, ""8"": 10, ""5"": 50, ""4"": 58, ""3"": 73, ""2"": 105, ""7"": 17, ""1"": 122, ""6"": 27}"
NCP1/p_f=0.35/n=500/seed=15,500,0.35,15,8,8,5.3,"{""8"": 21, ""7"": 18, ""6"": 25, ""3"": 61, ""1"": 136, ""5"": 64, ""2"": 124, ""4"": 51}"
