target_leaf,distance_from_source,t_flip_absolute,t_flip_relative,warmup_ok,a,b,lr,seed,local_steps,branching,depth,leaf_size,p,d_param,n_meas_rounds,nucleation_leaf,t_nucleation
0,4,11,6,True,0.5,0.042,0.1,0,50,2,5,4,2.0,1,200,10,5
1,4,11,6,True,0.5,0.042,0.1,0,50,2,5,4,2.0,1,200,10,5
2,4,12,7,True,0.5,0.042,0.1,0,50,2,5,4,2.0,1,200,10,5
3,4,12,7,True,0.5,0.042,0.1,0,50,2,5,4,2.0,1,200,10,5
4,4,10,5,True,0.5,0.042,0.1,0,50,2,5,4,2.0,1,200,10,5
5,4,11,6,True,0.5,0.042,0.1,0,50,2,5,4,2.0,1,200,10,5
6,4,10,5,True,0.5,0.042,0.1,0,50,2,5,4,2.0,1,200,10,5
7,4,14,9,True,0.5,0.042,0.1,0,50,2,5,4,2.0,1,200,10,5
8,2,6,1,True,0.5,0.042,0.1,0,50,2,5,4,2.0,1,200,10,5
9,2,8,3,True,0.5,0.042,0.1,0,50,2,5,4,2.0,1,200,10,5
11,1,10,5,True,0.5,0.042,0.1,0,50,2,5,4,2.0,1,200,10,5
12,3,9,4,True,0.5,0.042,0.1,0,50,2,5,4,2.0,1,200,10,5
13,3,9,4,True,0.5,0.042,0.1,0,50,2,5,4,2.0,1,200,10,5
14,3,8,3,True,0.5,0.042,0.1,0,50,2,5,4,2.0,1,200,10,5
15,3,8,3,True,0.5,0.042,0.1,0,50,2,5,4,2.0,1,200,10,5
16,5,22,17,True,0.5,0.042,0.1,0,50,2,5,4,2.0,1,200,10,5
17,5,24,19,True,0.5,0.042,0.1,0,50,2,5,4,2.0,1,200,10,5
18,5,25,20,True,0.5,0.042,0.1,0,50,2,5,4,2.0,1,200,10,5
19,5,24,19,True,0.5,0.042,0.1,0,50,2,5,4,2.0,1,200,10,5
20,5,21,16,True,0.5,0.042,0.1,0,50,2,5,4,2.0,1,200,10,5
21,5,20,15,True,0.5,0.042,0.1,0,50,2,5,4,2.0,1,200,10,5
22,5,24,19,True,0.5,0.042,0.1,0,50,2,5,4,2.0,1,200,10,5
23,5,22,17,True,0.5,0.042,0.1,0,50,2,5,4,2.0,1,200,10,5
24,5,27,22,True,0.5,0.042,0.1,0,50,2,5,4,2.0,1,200,10,5
25,5,28,23,True,0.5,0.042,0.1,0,50,2,5,4,2.0,1,200,10,5
26,5,27,22,True,0.5,0.042,0.1,0,50,2,5,4,2.0,1,200,10,5
27,5,26,21,True,0.5,0.042,0.1,0,50,2,5,4,2.0,1,200,10,5
28,5,28,23,True,0.5,0.042,0.1,0,50,2,5,4,2.0,1,200,10,5
29,5,29,24,True,0.5,0.042,0.1,0,50,2,5,4,2.0,1,200,10,5
30,5,24,19,True,0.5,0.042,0.1,0,50,2,5,4,2.0,1,200,10,5
31,5,22,17,True,0.5,0.042,0.1,0,50,2,5,4,2.0,1,200,10,5
0,3,10,8,True,0.5,0.042,0.1,1,50,2,5,4,2.0,1,200,5,2
1,3,10,8,True,0.5,0.042,0.1,1,50,2,5,4,2.0,1,200,5,2
2,3,11,9,True,0.5,0.042,0.1,1,50,2,5,4,2.0,1,200,5,2
3,3,7,5,True,0.5,0.042,0.1,1,50,2,5,4,2.0,1,200,5,2
4,1,5,3,True,0.5,0.042,0.1,1,50,2,5,4,2.0,1,200,5,2
6,2,8,6,True,0.5,0.042,0.1,1,50,2,5,4,2.0,1,200,5,2
7,2,7,5,True,0.5,0.042,0.1,1,50,2,5,4,2.0,1,200,5,2
8,4,8,6,True,0.5,0.042,0.1,1,50,2,5,4,2.0,1,200,5,2
9,4,7,5,True,0.5,0.042,0.1,1,50,2,5,4,2.0,1,200,5,2
10,4,15,13,True,0.5,0.042,0.1,1,50,2,5,4,2.0,1,200,5,2
11,4,15,13,True,0.5,0.042,0.1,1,50,2,5,4,2.0,1,200,5,2
12,4,17,15,True,0.5,0.042,0.1,1,50,2,5,4,2.0,1,200,5,2
13,4,20,18,True,0.5,0.042,0.1,1,50,2,5,4,2.0,1,200,5,2
14,4,16,14,True,0.5,0.042,0.1,1,50,2,5,4,2.0,1,200,5,2
15,4,15,13,True,0.5,0.042,0.1,1,50,2,5,4,2.0,1,200,5,2
16,5,24,22,True,0.5,0.042,0.1,1,50,2,5,4,2.0,1,200,5,2
17,5,25,23,True,0.5,0.042,0.1,1,50,2,5,4,2.0,1,200,5,2
18,5,22,20,True,0.5,0.042,0.1,1,50,2,5,4,2.0,1,200,5,2
