target_leaf,distance_from_source,t_flip_absolute,t_flip_relative,warmup_ok,a,b,lr,seed,local_steps,branching,depth,leaf_size,p,d_param,n_meas_rounds,nucleation_leaf,t_nucleation
0,4,,,True,0.5,0.042,0.1,0,10,2,5,4,2.0,1,200,12,0
1,4,,,True,0.5,0.042,0.1,0,10,2,5,4,2.0,1,200,12,0
2,4,,,True,0.5,0.042,0.1,0,10,2,5,4,2.0,1,200,12,0
3,4,,,True,0.5,0.042,0.1,0,10,2,5,4,2.0,1,200,12,0
4,4,,,True,0.5,0.042,0.1,0,10,2,5,4,2.0,1,200,12,0
5,4,,,True,0.5,0.042,0.1,0,10,2,5,4,2.0,1,200,12,0
6,4,,,True,0.5,0.042,0.1,0,10,2,5,4,2.0,1,200,12,0
7,4,,,True,0.5,0.042,0.1,0,10,2,5,4,2.0,1,200,12,0
8,3,,,True,0.5,0.042,0.1,0,10,2,5,4,2.0,1,200,12,0
9,3,,,True,0.5,0.042,0.1,0,10,2,5,4,2.0,1,200,12,0
10,3,,,True,0.5,0.042,0.1,0,10,2,5,4,2.0,1,200,12,0
11,3,,,True,0.5,0.042,0.1,0,10,2,5,4,2.0,1,200,12,0
13,1,,,True,0.5,0.042,0.1,0,10,2,5,4,2.0,1,200,12,0
14,2,,,True,0.5,0.042,0.1,0,10,2,5,4,2.0,1,200,12,0
15,2,,,True,0.5,0.042,0.1,0,10,2,5,4,2.0,1,200,12,0
16,5,,,True,0.5,0.042,0.1,0,10,2,5,4,2.0,1,200,12,0
17,5,,,True,0.5,0.042,0.1,0,10,2,5,4,2.0,1,200,12,0
18,5,,,True,0.5,0.042,0.1,0,10,2,5,4,2.0,1,200,12,0
19,5,,,True,0.5,0.042,0.1,0,10,2,5,4,2.0,1,200,12,0
20,5,,,True,0.5,0.042,0.1,0,10,2,5,4,2.0,1,200,12,0
21,5,,,True,0.5,0.042,0.1,0,10,2,5,4,2.0,1,200,12,0
22,5,,,True,0.5,0.042,0.1,0,10,2,5,4,2.0,1,200,12,0
23,5,,,True,0.5,0.042,0.1,0,10,2,5,4,2.0,1,200,12,0
24,5,,,True,0.5,0.042,0.1,0,10,2,5,4,2.0,1,200,12,0
25,5,,,True,0.5,0.042,0.1,0,10,2,5,4,2.0,1,200,12,0
26,5,,,True,0.5,0.042,0.1,0,10,2,5,4,2.0,1,200,12,0
27,5,,,True,0.5,0.042,0.1,0,10,2,5,4,2.0,1,200,12,0
28,5,,,True,0.5,0.042,0.1,0,10,2,5,4,2.0,1,200,12,0
29,5,,,True,0.5,0.042,0.1,0,10,2,5,4,2.0,1,200,12,0
30,5,,,True,0.5,0.042,0.1,0,10,2,5,4,2.0,1,200,12,0
31,5,,,True,0.5,0.042,0.1,0,10,2,5,4,2.0,1,200,12,0
0,,,,True,0.5,0.042,0.1,1,10,2,5,4,2.0,1,200,,
1,,,,True,0.5,0.042,0.1,1,10,2,5,4,2.0,1,200,,
2,,,,True,0.5,0.042,0.1,1,10,2,5,4,2.0,1,200,,
3,,,,True,0.5,0.042,0.1,1,10,2,5,4,2.0,1,200,,
4,,,,True,0.5,0.042,0.1,1,10,2,5,4,2.0,1,200,,
5,,,,True,0.5,0.042,0.1,1,10,2,5,4,2.0,1,200,,
6,,,,True,0.5,0.042,0.1,1,10,2,5,4,2.0,1,200,,
7,,,,True,0.5,0.042,0.1,1,10,2,5,4,2.0,1,200,,
8,,,,True,0.5,0.042,0.1,1,10,2,5,4,2.0,1,200,,
9,,,,True,0.5,0.042,0.1,1,10,2,5,4,2.0,1,200,,
10,,,,True,0.5,0.042,0.1,1,10,2,5,4,2.0,1,200,,
11,,,,True,0.5,0.042,0.1,1,10,2,5,4,2.0,1,200,,
12,,,,True,0.5,0.042,0.1,1,10,2,5,4,2.0,1,200,,
13,,,,True,0.5,0.042,0.1,1,10,2,5,4,2.0,1,200,,
14,,,,True,0.5,0.042,0.1,1,10,2,5,4,2.0,1,200,,
15,,,,True,0.5,0.042,0.1,1,10,2,5,4,2.0,1,200,,
16,,,,True,0.5,0.042,0.1,1,10,2,5,4,2.0,1,200,,
17,,,,True,0.5,0.042,0.1,1,10,2,5,4,2.0,1,200,,
18,,,,True,0.5,0.042,0.1,1,10,2,5,4,2.0,1,200,,
19,,,,True,0.5,0.042,0.1,1,10,2,5,4,2.0,1,200,,
20,,,,True,0.5,0.042,0.1,1,10,2,5,4,2.0,1,200,,
