target_leaf,distance_from_source,t_flip_absolute,t_flip_relative,warmup_ok,a,b,lr,seed,local_steps,branching,depth,leaf_size,p,d_param,n_meas_rounds,nucleation_leaf,t_nucleation
0,,,,True,0.5,0.042,0.1,0,10,2,5,4,2.0,1,200,,
1,,,,True,0.5,0.042,0.1,0,10,2,5,4,2.0,1,200,,
2,,,,True,0.5,0.042,0.1,0,10,2,5,4,2.0,1,200,,
3,,,,True,0.5,0.042,0.1,0,10,2,5,4,2.0,1,200,,
4,,,,True,0.5,0.042,0.1,0,10,2,5,4,2.0,1,200,,
5,,,,True,0.5,0.042,0.1,0,10,2,5,4,2.0,1,200,,
6,,,,True,0.5,0.042,0.1,0,10,2,5,4,2.0,1,200,,
7,,,,True,0.5,0.042,0.1,0,10,2,5,4,2.0,1,200,,
8,,,,True,0.5,0.042,0.1,0,10,2,5,4,2.0,1,200,,
9,,,,True,0.5,0.042,0.1,0,10,2,5,4,2.0,1,200,,
10,,,,True,0.5,0.042,0.1,0,10,2,5,4,2.0,1,200,,
11,,,,True,0.5,0.042,0.1,0,10,2,5,4,2.0,1,200,,
12,,,,True,0.5,0.042,0.1,0,10,2,5,4,2.0,1,200,,
13,,,,True,0.5,0.042,0.1,0,10,2,5,4,2.0,1,200,,
14,,,,True,0.5,0.042,0.1,0,10,2,5,4,2.0,1,200,,
15,,,,True,0.5,0.042,0.1,0,10,2,5,4,2.0,1,200,,
16,,,,True,0.5,0.042,0.1,0,10,2,5,4,2.0,1,200,,
17,,,,True,0.5,0.042,0.1,0,10,2,5,4,2.0,1,200,,
18,,,,True,0.5,0.042,0.1,0,10,2,5,4,2.0,1,200,,
19,,,,True,0.5,0.042,0.1,0,10,2,5,4,2.0,1,200,,
20,,,,True,0.5,0.042,0.1,0,10,2,5,4,2.0,1,200,,
21,,,,True,0.5,0.042,0.1,0,10,2,5,4,2.0,1,200,,
22,,,,True,0.5,0.042,0.1,0,10,2,5,4,2.0,1,200,,
23,,,,True,0.5,0.042,0.1,0,10,2,5,4,2.0,1,200,,
24,,,,True,0.5,0.042,0.1,0,10,2,5,4,2.0,1,200,,
25,,,,True,0.5,0.042,0.1,0,10,2,5,4,2.0,1,200,,
26,,,,True,0.5,0.042,0.1,0,10,2,5,4,2.0,1,200,,
27,,,,True,0.5,0.042,0.1,0,10,2,5,4,2.0,1,200,,
28,,,,True,0.5,0.042,0.1,0,10,2,5,4,2.0,1,200,,
29,,,,True,0.5,0.042,0.1,0,10,2,5,4,2.0,1,200,,
30,,,,True,0.5,0.042,0.1,0,10,2,5,4,2.0,1,200,,
31,,,,True,0.5,0.042,0.1,0,10,2,5,4,2.0,1,200,,
0,3,43,36,True,0.5,0.042,0.1,1,10,2,5,4,2.0,1,200,4,7
1,3,44,37,True,0.5,0.042,0.1,1,10,2,5,4,2.0,1,200,4,7
2,3,43,36,True,0.5,0.042,0.1,1,10,2,5,4,2.0,1,200,4,7
3,3,44,37,True,0.5,0.042,0.1,1,10,2,5,4,2.0,1,200,4,7
5,1,34,27,True,0.5,0.042,0.1,1,10,2,5,4,2.0,1,200,4,7
6,2,31,24,True,0.5,0.042,0.1,1,10,2,5,4,2.0,1,200,4,7
