target_leaf,distance_from_source,t_flip_absolute,t_flip_relative,warmup_ok,a,b,lr,seed,local_steps,branching,depth,leaf_size,p,d_param,n_meas_rounds,nucleation_leaf,t_nucleation
0,4,26,23,True,0.5,0.042,0.1,0,50,2,5,4,2.0,1,200,12,3
1,4,28,25,True,0.5,0.042,0.1,0,50,2,5,4,2.0,1,200,12,3
2,4,29,26,True,0.5,0.042,0.1,0,50,2,5,4,2.0,1,200,12,3
3,4,30,27,True,0.5,0.042,0.1,0,50,2,5,4,2.0,1,200,12,3
4,4,29,26,True,0.5,0.042,0.1,0,50,2,5,4,2.0,1,200,12,3
5,4,29,26,True,0.5,0.042,0.1,0,50,2,5,4,2.0,1,200,12,3
6,4,26,23,True,0.5,0.042,0.1,0,50,2,5,4,2.0,1,200,12,3
7,4,26,23,True,0.5,0.042,0.1,0,50,2,5,4,2.0,1,200,12,3
8,3,12,9,True,0.5,0.042,0.1,0,50,2,5,4,2.0,1,200,12,3
9,3,11,8,True,0.5,0.042,0.1,0,50,2,5,4,2.0,1,200,12,3
10,3,10,7,True,0.5,0.042,0.1,0,50,2,5,4,2.0,1,200,12,3
11,3,9,6,True,0.5,0.042,0.1,0,50,2,5,4,2.0,1,200,12,3
13,1,4,1,True,0.5,0.042,0.1,0,50,2,5,4,2.0,1,200,12,3
14,2,7,4,True,0.5,0.042,0.1,0,50,2,5,4,2.0,1,200,12,3
15,2,8,5,True,0.5,0.042,0.1,0,50,2,5,4,2.0,1,200,12,3
16,5,49,46,True,0.5,0.042,0.1,0,50,2,5,4,2.0,1,200,12,3
17,5,51,48,True,0.5,0.042,0.1,0,50,2,5,4,2.0,1,200,12,3
18,5,52,49,True,0.5,0.042,0.1,0,50,2,5,4,2.0,1,200,12,3
19,5,52,49,True,0.5,0.042,0.1,0,50,2,5,4,2.0,1,200,12,3
20,5,50,47,True,0.5,0.042,0.1,0,50,2,5,4,2.0,1,200,12,3
21,5,50,47,True,0.5,0.042,0.1,0,50,2,5,4,2.0,1,200,12,3
22,5,47,44,True,0.5,0.042,0.1,0,50,2,5,4,2.0,1,200,12,3
23,5,46,43,True,0.5,0.042,0.1,0,50,2,5,4,2.0,1,200,12,3
24,5,40,37,True,0.5,0.042,0.1,0,50,2,5,4,2.0,1,200,12,3
25,5,40,37,True,0.5,0.042,0.1,0,50,2,5,4,2.0,1,200,12,3
26,5,37,34,True,0.5,0.042,0.1,0,50,2,5,4,2.0,1,200,12,3
27,5,36,33,True,0.5,0.042,0.1,0,50,2,5,4,2.0,1,200,12,3
28,5,41,38,True,0.5,0.042,0.1,0,50,2,5,4,2.0,1,200,12,3
29,5,41,38,True,0.5,0.042,0.1,0,50,2,5,4,2.0,1,200,12,3
30,5,40,37,True,0.5,0.042,0.1,0,50,2,5,4,2.0,1,200,12,3
31,5,38,35,True,0.5,0.042,0.1,0,50,2,5,4,2.0,1,200,12,3
0,3,13,10,True,0.5,0.042,0.1,1,50,2,5,4,2.0,1,200,5,3
1,3,13,10,True,0.5,0.042,0.1,1,50,2,5,4,2.0,1,200,5,3
2,3,13,10,True,0.5,0.042,0.1,1,50,2,5,4,2.0,1,200,5,3
3,3,13,10,True,0.5,0.042,0.1,1,50,2,5,4,2.0,1,200,5,3
4,1,6,3,True,0.5,0.042,0.1,1,50,2,5,4,2.0,1,200,5,3
6,2,7,4,True,0.5,0.042,0.1,1,50,2,5,4,2.0,1,200,5,3
7,2,8,5,True,0.5,0.042,0.1,1,50,2,5,4,2.0,1,200,5,3
8,4,21,18,True,0.5,0.042,0.1,1,50,2,5,4,2.0,1,200,5,3
9,4,22,19,True,0.5,0.042,0.1,1,50,2,5,4,2.0,1,200,5,3
10,4,27,24,True,0.5,0.042,0.1,1,50,2,5,4,2.0,1,200,5,3
11,4,26,23,True,0.5,0.042,0.1,1,50,2,5,4,2.0,1,200,5,3
12,4,28,25,True,0.5,0.042,0.1,1,50,2,5,4,2.0,1,200,5,3
13,4,28,25,True,0.5,0.042,0.1,1,50,2,5,4,2.0,1,200,5,3
14,4,28,25,True,0.5,0.042,0.1,1,50,2,5,4,2.0,1,200,5,3
15,4,28,25,True,0.5,0.042,0.1,1,50,2,5,4,2.0,1,200,5,3
16,5,,,True,0.5,0.042,0.1,1,50,2,5,4,2.0,1,200,5,3
17,5,,,True,0.5,0.042,0.1,1,50,2,5,4,2.0,1,200,5,3
18,5,,,True,0.5,0.042,0.1,1,50,2,5,4,2.0,1,200,5,3
19,5,,,True,0.5,0.042,0.1,1,50,2,5,4,2.0,1,200,5,3
20,5,,,True,0.5,0.042,0.1,1,50,2,5,4,2.0,1,200,5,3
21,5,,,True,0.5,0.042,0.1,1,50,2,5,4,2.0,1,200,5,3
22,5,,,True,0.5,0.042,0.1,1,50,2,5,4,2.0,1,200,5,3
23,5,,,True,0.5,0.042,0.1,1,50,2,5,4,2.0,1,200,5,3
24,5,,,True,0.5,0.042,0.1,1,50,2,5,4,2.0,1,200,5,3
25,5,,,True,0.5,0.042,0.1,1,50,2,5,4,2.0,1,200,5,3
26,5,,,True,0.5,0.042,0.1,1,50,2,5,4,2.0,1,200,5,3
27,5,,,True,0.5,0.042,0.1,1,50,2,5,4,2.0,1,200,5,3
28,5,,,True,0.5,0.042,0.1,1,50,2,5,4,2.0,1,200,5,3
29,5,,,True,0.5,0.042,0.1,1,50,2,5,4,2.0,1,200,5,3
30,5,,,True,0.5,0.042,0.1,1,50,2,5,4,2.0,1,200,5,3
31,5,,,True,0.5,0.042,0.1,1,50,2,5,4,2.0,1,200,5,3
0,4,19,15,True,0.5,0.042,0.1,2,50,2,5,4,2.0,1,200,8,4
1,4,19,15,True,0.5,0.042,0.1,2,50,2,5,4,2.0,1,200,8,4
2,4,22,18,True,0.5,0.042,0.1,2,50,2,5,4,2.0,1,200,8,4
