name,a,b,local_steps,seed,depth,warmup_ok,nucleation_leaf,t_nucleation,cascade_depth,regime,ell_c
NMH3/a=0.25/seed=0,0.25,0.042,50,0,5,False,,,,I,5
NMH3/a=0.25/seed=1,0.25,0.042,50,1,5,False,,,,I,5
NMH3/a=0.25/seed=2,0.25,0.042,50,2,5,False,,,,I,5
NMH3/a=0.25/seed=3,0.25,0.042,50,3,5,False,,,,I,5
NMH3/a=0.25/seed=4,0.25,0.042,50,4,5,False,,,,I,5
NMH3/a=0.5/seed=0,0.5,0.042,50,0,5,True,12,3,5,II,4
NMH3/a=0.5/seed=1,0.5,0.042,50,1,5,True,5,3,4,II,4
NMH3/a=0.5/seed=2,0.5,0.042,50,2,5,True,8,4,5,II,4
NMH3/a=0.5/seed=3,0.5,0.042,50,3,5,True,10,3,5,II,4
NMH3/a=0.5/seed=4,0.5,0.042,50,4,5,True,26,3,5,II,4
NMH3/a=1.0/seed=0,1.0,0.042,50,0,5,True,,,,II,3
NMH3/a=1.0/seed=1,1.0,0.042,50,1,5,True,,,,II,3
NMH3/a=1.0/seed=2,1.0,0.042,50,2,5,True,,,,II,3
NMH3/a=1.0/seed=3,1.0,0.042,50,3,5,True,,,,II,3
NMH3/a=1.0/seed=4,1.0,0.042,50,4,5,True,,,,II,3
NMH3/a=2.0/seed=0,2.0,0.042,50,0,5,True,,,,II,2
NMH3/a=2.0/seed=1,2.0,0.042,50,1,5,True,,,,II,2
NMH3/a=2.0/seed=2,2.0,0.042,50,2,5,True,,,,II,2
NMH3/a=2.0/seed=3,2.0,0.042,50,3,5,True,,,,II,2
NMH3/a=2.0/seed=4,2.0,0.042,50,4,5,True,,,,II,2
NMH3/a=4.0/seed=0,4.0,0.042,50,0,5,True,,,,II,1
NMH3/a=4.0/seed=1,4.0,0.042,50,1,5,True,,,,II,1
NMH3/a=4.0/seed=2,4.0,0.042,50,2,5,True,,,,II,1
NMH3/a=4.0/seed=3,4.0,0.042,50,3,5,True,,,,II,1
NMH3/a=4.0/seed=4,4.0,0.042,50,4,5,True,,,,II,1
NMH3/a=8.0/seed=0,8.0,0.042,50,0,5,True,,,,III,0
NMH3/a=8.0/seed=1,8.0,0.042,50,1,5,True,,,,III,0
NMH3/a=8.0/seed=2,8.0,0.042,50,2,5,True,,,,III,0
NMH3/a=8.0/seed=3,8.0,0.042,50,3,5,True,,,,III,0
NMH3/a=8.0/seed=4,8.0,0.042,50,4,5,True,,,,III,0
NMH3/a=12.0/seed=0,12.0,0.042,50,0,5,True,,,,III,0
NMH3/a=12.0/seed=1,12.0,0.042,50,1,5,True,,,,III,0
NMH3/a=12.0/seed=2,12.0,0.042,50,2,5,True,,,,III,0
NMH3/a=12.0/seed=3,12.0,0.042,50,3,5,True,,,,III,0
NMH3/a=12.0/seed=4,12.0,0.042,50,4,5,True,,,,III,0
NMH3/a=16.0/seed=0,16.0,0.042,50,0,5,True,,,,III,0
NMH3/a=16.0/seed=1,16.0,0.042,50,1,5,True,,,,III,0
NMH3/a=16.0/seed=2,16.0,0.042,50,2,5,True,,,,III,0
NMH3/a=16.0/seed=3,16.0,0.042,50,3,5,True,,,,III,0
NMH3/a=16.0/seed=4,16.0,0.042,50,4,5,True,,,,III,0
