cascade_rate,n_total,n_cascade,pl_alpha,exp_lambda,vuong_z,vuong_p,pl_loglik,exp_loglik,a,ls
0.02666666666666667,75,2,nan,nan,nan,nan,nan,nan,0.5,5
0.41333333333333333,75,31,1.2437,0.0328,-73.717,0.0,-164.8,-136.93,0.5,10
0.9866666666666667,75,74,1.2446,0.0332,-90.535,0.0,-392.08,-326.02,0.5,20
1.0,75,75,1.2494,0.0349,-38.492,0.0,-390.88,-326.65,0.5,30
1.0,75,75,1.2535,0.0362,-23.448,0.0,-385.47,-323.94,0.5,50
0.013333333333333334,75,1,nan,nan,nan,nan,nan,nan,0.625,5
0.10666666666666667,75,8,1.3328,0.08,-3.851,0.0001,-32.45,-28.21,0.625,10
0.7466666666666667,75,56,1.3804,0.1102,-5.007,0.0,-201.51,-179.49,0.625,20
0.9466666666666667,75,71,1.4081,0.1389,-4.79,0.0,-233.46,-211.13,0.625,30
0.9733333333333334,75,73,1.4902,0.1957,-1.734,0.0829,-201.35,-192.07,0.625,50
0.013333333333333334,75,1,nan,nan,nan,nan,nan,nan,0.75,5
0.04,75,3,nan,nan,nan,nan,nan,nan,0.75,10
0.4533333333333333,75,34,1.6771,0.3505,1.943,0.052,-63.21,-69.64,0.75,20
0.8,75,60,1.714,0.4196,1.963,0.0496,-104.42,-112.11,0.75,30
0.8533333333333334,75,64,1.7573,0.4507,2.915,0.0036,-103.11,-115.0,0.75,50
0.013333333333333334,75,1,nan,nan,nan,nan,nan,nan,0.875,5
0.02666666666666667,75,2,nan,nan,nan,nan,nan,nan,0.875,10
0.3466666666666667,75,26,1.8482,0.5,3.423,0.0006,-35.58,-44.02,0.875,20
0.5333333333333333,75,40,1.9049,0.5714,6.047,0.0,-44.57,-62.38,0.875,30
0.68,75,51,2.0053,0.6456,9.135,0.0,-46.51,-73.32,0.875,50
0.013333333333333334,75,1,nan,nan,nan,nan,nan,nan,1.0,5
0.02666666666666667,75,2,nan,nan,nan,nan,nan,nan,1.0,10
0.24,75,18,2.049,0.6923,6.064,0.0,-14.95,-24.62,1.0,20
0.4,75,30,2.0532,0.6818,7.989,0.0,-24.7,-41.49,1.0,30
0.4266666666666667,75,32,2.4427,1.0,nan,nan,0.0,-32.0,1.0,50
