ls,a1,a2,ks_stat,p_value,n1,n2
5,0.5,0.625,0.0267,1.0,75,75
5,0.625,0.75,0.0133,1.0,75,75
5,0.75,0.875,0.0,1.0,75,75
5,0.875,1.0,0.0,1.0,75,75
10,0.5,0.625,0.3867,0.0,75,75
10,0.625,0.75,0.0933,0.9026,75,75
10,0.75,0.875,0.0133,1.0,75,75
10,0.875,1.0,0.0,1.0,75,75
20,0.5,0.625,0.9067,0.0,75,75
20,0.625,0.75,0.4933,0.0,75,75
20,0.75,0.875,0.1333,0.5204,75,75
20,0.875,1.0,0.1067,0.7907,75,75
30,0.5,0.625,0.8667,0.0,75,75
30,0.625,0.75,0.6533,0.0,75,75
30,0.75,0.875,0.2933,0.003,75,75
30,0.875,1.0,0.1333,0.5204,75,75
50,0.5,0.625,0.88,0.0,75,75
50,0.625,0.75,0.44,0.0,75,75
50,0.75,0.875,0.28,0.0054,75,75
50,0.875,1.0,0.2533,0.0159,75,75
